epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,165.692,2.29693,8.34251,0.00589,0.61956,0.74379,0.69295,0.29653,1.52725,11.2793,0.00408,0.000332465,0.000332465,0.000332465
2,313.499,2.03426,1.82565,0.00486,0.74173,0.74042,0.79839,0.36391,1.48988,2.40226,0.00402,0.000652616,0.000652616,0.000652616
3,468.308,2.03602,1.47285,0.00488,0.84659,0.83816,0.87024,0.39238,1.41193,2.38205,0.00376,0.000959566,0.000959566,0.000959566
4,619.311,1.99763,1.29496,0.0047,0.82754,0.88653,0.91242,0.43586,1.41581,4.07711,0.00374,0.0009406,0.0009406,0.0009406
5,769.588,1.97206,1.15595,0.0047,0.7633,0.44978,0.62393,0.27091,1.49602,1.71719,0.00401,0.0009208,0.0009208,0.0009208
6,918.631,1.93017,1.04417,0.00452,0.88539,0.87318,0.92448,0.45181,1.39406,0.93376,0.00376,0.000901,0.000901,0.000901
7,1069.49,1.89888,0.992,0.0045,0.68522,0.86424,0.73854,0.313,1.4946,11.8022,0.00393,0.0008812,0.0008812,0.0008812
8,1219.4,1.89292,0.95987,0.00446,0.94586,0.93149,0.96197,0.47534,1.40894,0.74523,0.00384,0.0008614,0.0008614,0.0008614
9,1371.4,1.8919,0.89041,0.00444,0.93128,0.91899,0.95702,0.45167,1.42751,1.13525,0.0038,0.0008416,0.0008416,0.0008416
10,1520.46,1.84796,0.86734,0.00435,0.83878,0.92242,0.94053,0.47807,1.35377,5.31514,0.00361,0.0008218,0.0008218,0.0008218
11,1670.92,1.83383,0.83992,0.00428,0.95392,0.94972,0.96431,0.46517,1.3958,0.91328,0.0037,0.000802,0.000802,0.000802
12,1817.54,1.84119,0.80957,0.00429,0.94605,0.93544,0.96948,0.48449,1.35816,1.81048,0.00361,0.0007822,0.0007822,0.0007822
13,1964.39,1.82083,0.81398,0.00427,0.95762,0.92218,0.9669,0.48109,1.34495,0.44963,0.0036,0.0007624,0.0007624,0.0007624
14,2111.1,1.80009,0.77814,0.00421,0.95714,0.94695,0.97519,0.50165,1.29324,0.41981,0.00339,0.0007426,0.0007426,0.0007426
15,2256.88,1.76825,0.75522,0.00414,0.97,0.9513,0.97344,0.48912,1.33571,0.4621,0.00352,0.0007228,0.0007228,0.0007228
16,2400.76,1.77938,0.76346,0.00417,0.96802,0.95924,0.97943,0.50094,1.32998,0.47563,0.00357,0.000703,0.000703,0.000703
17,2546.78,1.74354,0.71753,0.004,0.97077,0.96049,0.97889,0.49555,1.337,1.09231,0.00357,0.0006832,0.0006832,0.0006832
18,2694.44,1.73873,0.7245,0.00397,0.97228,0.96142,0.98038,0.50931,1.28788,0.38005,0.00338,0.0006634,0.0006634,0.0006634
19,2842.79,1.75108,0.72571,0.00405,0.96827,0.96874,0.97875,0.51634,1.28784,0.44,0.00339,0.0006436,0.0006436,0.0006436
20,2990.07,1.71663,0.69514,0.00395,0.97404,0.96871,0.97783,0.50864,1.28574,0.37746,0.0034,0.0006238,0.0006238,0.0006238
21,3134.85,1.70963,0.69001,0.00396,0.97379,0.97567,0.98309,0.51647,1.26435,0.34682,0.00333,0.000604,0.000604,0.000604
